ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
038252336004,$1.00,-1,-4.6185,-1,-6.3185,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252550004,$1.00,"294,124",-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252690083,$0.25,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
038252410513,$1.20,"Invalid ISBN Provided"
038252550028,$1.20,"Invalid ISBN Provided"
038252550035,$2.20,"Invalid ISBN Provided"
038252420017,$2.20,"283,584",-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252450519,$2.20,-1,-4.6185,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252460082,$2.20,-1,-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252500207,$2.20,"404,241",-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252376178,$2.20,"442,995",-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252540005,$2.20,"213,952",-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252530051,$2.20,-1,-6.4585,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252610005,$2.20,"323,971",-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252520007,$2.20,"671,905",-6.8485,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252650070,$2.20,"257,205",-6.4585,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252680039,$2.20,"317,274",-6.4585,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252440107,$2.20,"110,453",-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252710019,$2.20,"105,348",-6.4585,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252730017,$2.20,"Invalid ISBN Provided"
038252740016,$2.20,"Invalid ISBN Provided"
038252750015,$2.20,"Invalid ISBN Provided"
038252760014,$2.20,"Invalid ISBN Provided"
,$30.00,"Invalid ISBN Provided"
,$20.00,"Invalid ISBN Provided"
,,"Invalid ISBN Provided"
038252690007,$1.50,"575,528",-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252690014,$1.00,"549,412",-6.0685,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252690021,$1.15,-1,-7.2385,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252450212,$3.65,"Invalid ISBN Provided"
038252420239,$3.65,"Invalid ISBN Provided"
038252550042,$2.80,"252,520",-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252650025,$3.20,"163,755",-5.0785,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
038252560225,$3.20,"393,922",-6.4585,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
